Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$
1,Brasil,Afeganistão,2007,0,0
2,Brasil,África do Sul,2007,0,0
3,Brasil,"Alemanha, República Democrática",2007,119512,238052
4,Brasil,Angola,2007,25931,49753
5,Brasil,Anguilla,2007,0,0
6,Brasil,Antígua e Barbuda,2007,0,0
7,Brasil,Antilhas Holandesas,2007,17025,17949
8,Brasil,Argentina,2007,0,0
9,Brasil,Aruba,2007,0,0
10,Brasil,Austrália,2007,60,281
11,Brasil,Áustria,2007,0,0
12,Brasil,Bahamas,2007,0,0
13,Brasil,Bangladesh,2007,0,0
14,Brasil,Barbados,2007,0,0
15,Brasil,Barein,2007,0,0
16,Brasil,Bélgica,2007,1077,3751
17,Brasil,Belice,2007,0,0
18,Brasil,Benin,2007,0,0
19,Brasil,Bolívia,2007,4985,3550
20,Brasil,Bósnia-Herzegovina,2007,0,0
21,Brasil,Brasil,2007,0,0
22,Brasil,Bulgária,2007,0,0
23,Brasil,Cabo Verde,2007,0,0
24,Brasil,Camarões,2007,0,0
25,Brasil,Canadá,2007,4172,18838
26,Brasil,Catar,2007,0,0
27,Brasil,"Cayman, Ilhas",2007,0,0
28,Brasil,Chile,2007,60930,67353
29,Brasil,China,2007,7638,30390
30,Brasil,Chipre,2007,0,0
31,Brasil,Cingapura,2007,7270,17864
32,Brasil,"Cocos (Keeling), Ilhas",2007,0,0
33,Brasil,Colômbia,2007,0,0
34,Brasil,Comores,2007,0,0
35,Brasil,Congo,2007,0,0
36,Brasil,"Coreia, Republica Sul",2007,1012,4650
37,Brasil,Costa do Marfim,2007,0,0
38,Brasil,Costa Rica,2007,0,0
39,Brasil,Croácia,2007,0,0
40,Brasil,Cuba,2007,2669,5118
41,Brasil,Curaçao,2007,0,0
42,Brasil,Dinamarca,2007,3480,11176
43,Brasil,Dominica,2007,0,0
44,Brasil,El Salvador,2007,0,0
45,Brasil,Emirados Arabes Unidos,2007,0,0
46,Brasil,Equador,2007,2700,3585
47,Brasil,"Eslovaca, Republica",2007,0,0
48,Brasil,Espanha,2007,0,0
49,Brasil,Estados Unidos,2007,479269,810038
50,Brasil,Estônia,2007,77697,54056
51,Brasil,Filipinas,2007,0,0
52,Brasil,Finlândia,2007,0,0
53,Brasil,França,2007,6349,11231
54,Brasil,Gana,2007,0,0
55,Brasil,Gibraltar,2007,0,0
56,Brasil,Granada,2007,0,0
57,Brasil,Grécia,2007,0,0
58,Brasil,Guatemala,2007,0,0
59,Brasil,Guiana,2007,0,0
60,Brasil,Guiana Francesa,2007,0,0
61,Brasil,Guine Bissau,2007,0,0
62,Brasil,Guine Equatorial,2007,0,0
63,Brasil,Haiti,2007,0,0
64,Brasil,Honduras,2007,0,0
65,Brasil,Hong Kong,2007,0,0
66,Brasil,Hungria,2007,0,0
67,Brasil,Ilha de Man,2007,0,0
68,Brasil,Ilhas Virgens,2007,0,0
69,Brasil,India,2007,0,0
70,Brasil,Indonésia,2007,0,0
71,Brasil,Irã,2007,0,0
72,Brasil,Iraque,2007,0,0
73,Brasil,Irlanda,2007,0,0
74,Brasil,Itália,2007,7209,19860
75,Brasil,Jamaica,2007,0,0
76,Brasil,Japão,2007,357943,316867
77,Brasil,Jordânia,2007,0,0
78,Brasil,Letônia,2007,0,0
79,Brasil,Líbano,2007,0,0
80,Brasil,Libéria,2007,0,0
81,Brasil,Luxemburgo,2007,785,2033
82,Brasil,Malásia,2007,0,0
83,Brasil,Malta,2007,0,0
84,Brasil,"Marshall, Ilhas",2007,0,0
85,Brasil,Mauritânia,2007,0,0
86,Brasil,México,2007,2453,15425
87,Brasil,Moçambique,2007,0,0
88,Brasil,Montenegro,2007,0,0
89,Brasil,Namibia,2007,0,0
90,Brasil,Nicaragua,2007,0,0
91,Brasil,Nigéria,2007,0,0
92,Brasil,Noruega,2007,10044,10044
93,Brasil,Nova Caledônia,2007,0,0
94,Brasil,Nova Zelândia,2007,0,0
95,Brasil,Omã,2007,0,0
96,Brasil,Países Baixos,2007,181046,364751
97,Brasil,Panamá,2007,810,1030
98,Brasil,Paraguai,2007,1285459,801519
99,Brasil,Peru,2007,0,0
100,Brasil,Polônia,2007,0,0
101,Brasil,Porto Rico,2007,0,0
102,Brasil,Portugal,2007,109074,165282
103,Brasil,Quênia,2007,10600,13860
104,Brasil,Reino Unido,2007,84613,144244
105,Brasil,República Dominicana,2007,601,2438
106,Brasil,Rússia,2007,266400,173160
107,Brasil,São Tomé e Príncipe,2007,0,0
108,Brasil,São Vicente e Granadinas,2007,0,0
109,Brasil,Senegal,2007,0,0
110,Brasil,Serra Leoa,2007,0,0
111,Brasil,Singapura,2007,0,0
112,Brasil,Suazilândia,2007,0,0
113,Brasil,Suécia,2007,919,2448
114,Brasil,Suíça,2007,26090,70716
115,Brasil,Suriname,2007,2700,4603
116,Brasil,Tailândia,2007,839,2020
117,Brasil,Taiwan (FORMOSA),2007,6377,11214
118,Brasil,Tanzânia,2007,0,0
119,Brasil,"Tcheca, República",2007,85303,189620
120,Brasil,Togo,2007,11,11
121,Brasil,Trinidade Tobago,2007,0,0
122,Brasil,Tunísia,2007,0,0
123,Brasil,Turquia,2007,0,0
124,Brasil,Tuvalu,2007,0,0
125,Brasil,Uruguai,2007,0,0
126,Brasil,Vanuatu,2007,0,0
127,Brasil,Venezuela,2007,20700,27370
128,Brasil,Vietnã,2007,0,0
1,Brasil,Afeganistão,2008,0,0
2,Brasil,África do Sul,2008,0,0
3,Brasil,"Alemanha, República Democrática",2008,265742,429970
4,Brasil,Angola,2008,25721,71083
5,Brasil,Anguilla,2008,0,0
6,Brasil,Antígua e Barbuda,2008,0,0
7,Brasil,Antilhas Holandesas,2008,17938,22908
8,Brasil,Argentina,2008,0,0
9,Brasil,Aruba,2008,0,0
10,Brasil,Austrália,2008,218726,99280
11,Brasil,Áustria,2008,0,0
12,Brasil,Bahamas,2008,0,0
13,Brasil,Bangladesh,2008,0,0
14,Brasil,Barbados,2008,0,0
15,Brasil,Barein,2008,0,0
16,Brasil,Bélgica,2008,3523,12969
17,Brasil,Belice,2008,0,0
18,Brasil,Benin,2008,10350,17423
19,Brasil,Bolívia,2008,3979,3990
20,Brasil,Bósnia-Herzegovina,2008,0,0
21,Brasil,Brasil,2008,0,0
22,Brasil,Bulgária,2008,0,0
23,Brasil,Cabo Verde,2008,0,0
24,Brasil,Camarões,2008,0,0
25,Brasil,Canadá,2008,20949,80476
26,Brasil,Catar,2008,0,0
27,Brasil,"Cayman, Ilhas",2008,0,0
28,Brasil,Chile,2008,0,0
29,Brasil,China,2008,8689,25926
30,Brasil,Chipre,2008,0,0
31,Brasil,Cingapura,2008,1233,4699
32,Brasil,"Cocos (Keeling), Ilhas",2008,0,0
33,Brasil,Colômbia,2008,0,0
34,Brasil,Comores,2008,0,0
35,Brasil,Congo,2008,0,0
36,Brasil,"Coreia, Republica Sul",2008,3520,14366
37,Brasil,Costa do Marfim,2008,0,0
38,Brasil,Costa Rica,2008,55,200
39,Brasil,Croácia,2008,0,0
40,Brasil,Cuba,2008,0,0
41,Brasil,Curaçao,2008,0,0
42,Brasil,Dinamarca,2008,518,15905
43,Brasil,Dominica,2008,0,0
44,Brasil,El Salvador,2008,0,0
45,Brasil,Emirados Arabes Unidos,2008,2437,12298
46,Brasil,Equador,2008,0,0
47,Brasil,"Eslovaca, Republica",2008,585,16063
48,Brasil,Espanha,2008,2942,6834
49,Brasil,Estados Unidos,2008,443895,804607
50,Brasil,Estônia,2008,4114,9730
51,Brasil,Filipinas,2008,0,0
52,Brasil,Finlândia,2008,0,0
53,Brasil,França,2008,11078,27500
54,Brasil,Gana,2008,18168,25642
55,Brasil,Gibraltar,2008,0,0
56,Brasil,Granada,2008,0,0
57,Brasil,Grécia,2008,0,0
58,Brasil,Guatemala,2008,0,0
59,Brasil,Guiana,2008,0,0
60,Brasil,Guiana Francesa,2008,0,0
61,Brasil,Guine Bissau,2008,0,0
62,Brasil,Guine Equatorial,2008,548,1417
63,Brasil,Haiti,2008,20,20
64,Brasil,Honduras,2008,162,580
65,Brasil,Hong Kong,2008,2430,13460
66,Brasil,Hungria,2008,0,0
67,Brasil,Ilha de Man,2008,0,0
68,Brasil,Ilhas Virgens,2008,0,0
69,Brasil,India,2008,0,0
70,Brasil,Indonésia,2008,0,0
