Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$,Population Qt
1,Brasil,Afeganistão,2007,0,0,11282.308000000008
2,Brasil,África do Sul,2007,0,0,31704.650000000005
3,Brasil,"Alemanha, República Democrática",2007,119512,238052,
4,Brasil,Angola,2007,25931,49753,9979.686000000003
5,Brasil,Anguilla,2007,0,0,8.937999999999997
6,Brasil,Antígua e Barbuda,2007,0,0,
7,Brasil,Antilhas Holandesas,2007,17025,17949,
8,Brasil,Argentina,2007,0,0,27243.266499999983
9,Brasil,Aruba,2007,0,0,72.20850000000003
10,Brasil,Austrália,2007,60,281,15933.056499999995
11,Brasil,Áustria,2007,0,0,6709.080499999998
12,Brasil,Bahamas,2007,0,0,240.49749999999992
13,Brasil,Bangladesh,2007,0,0,85094.98800000001
14,Brasil,Barbados,2007,0,0,204.2995
15,Brasil,Barein,2007,0,0,763.0329999999998
16,Brasil,Bélgica,2007,1077,3751,8456.3675
17,Brasil,Belice,2007,0,0,167.15799999999996
18,Brasil,Benin,2007,0,0,4254.152999999999
19,Brasil,Bolívia,2007,4985,3550,5576.1845
20,Brasil,Bósnia-Herzegovina,2007,0,0,3197.7874999999995
21,Brasil,Brasil,2007,0,0,130440.0735
22,Brasil,Bulgária,2007,0,0,6399.9965
23,Brasil,Cabo Verde,2007,0,0,291.1005
24,Brasil,Camarões,2007,0,0,8942.478999999994
25,Brasil,Canadá,2007,4172,18838,25891.177999999996
26,Brasil,Catar,2007,0,0,1008.5515000000005
27,Brasil,"Cayman, Ilhas",2007,0,0,38.69250000000001
28,Brasil,Chile,2007,60930,67353,11856.1565
29,Brasil,China,2007,7638,30390,998693.1855000003
30,Brasil,Chipre,2007,0,0,820.4474999999999
31,Brasil,Cingapura,2007,7270,17864,3696.2425
32,Brasil,"Cocos (Keeling), Ilhas",2007,0,0,
33,Brasil,Colômbia,2007,0,0,28196.9475
34,Brasil,Comores,2007,0,0,303.9579999999999
35,Brasil,Congo,2007,0,0,2087.7010000000005
36,Brasil,"Coreia, Republica Sul",2007,1012,4650,37483.23400000002
37,Brasil,Costa do Marfim,2007,0,0,9636.9105
38,Brasil,Costa Rica,2007,0,0,3024.2229999999995
39,Brasil,Croácia,2007,0,0,3561.3449999999993
40,Brasil,Cuba,2007,2669,5118,8680.784000000001
41,Brasil,Curaçao,2007,0,0,110.27600000000008
42,Brasil,Dinamarca,2007,3480,11176,4263.6505
43,Brasil,Dominica,2007,0,0,47.342500000000015
44,Brasil,El Salvador,2007,0,0,3596.459000000001
45,Brasil,Emirados Arabes Unidos,2007,0,0,4657.0019999999995
46,Brasil,Equador,2007,2700,3585,8755.684000000001
47,Brasil,"Eslovaca, Republica",2007,0,0,4283.985
48,Brasil,Espanha,2007,0,0,37291.83750000001
49,Brasil,Estados Unidos,2007,479269,810038,228021.69750000007
50,Brasil,Estônia,2007,77697,54056,1086.6640000000002
51,Brasil,Filipinas,2007,0,0,51726.02299999999
52,Brasil,Finlândia,2007,0,0,4190.844499999999
53,Brasil,França,2007,6349,11231,47797.322499999995
54,Brasil,Gana,2007,0,0,12715.939000000004
55,Brasil,Gibraltar,2007,0,0,23.3715
56,Brasil,Granada,2007,0,0,
57,Brasil,Grécia,2007,0,0,9166.885499999999
58,Brasil,Guatemala,2007,0,0,7137.950499999999
59,Brasil,Guiana,2007,0,0,
60,Brasil,Guiana Francesa,2007,0,0,
61,Brasil,Guine Bissau,2007,0,0,720.366
62,Brasil,Guine Equatorial,2007,0,0,511.08000000000004
63,Brasil,Haiti,2007,0,0,5260.783999999997
64,Brasil,Honduras,2007,0,0,4248.804499999999
65,Brasil,Hong Kong,2007,0,0,
66,Brasil,Hungria,2007,0,0,8148.6735
67,Brasil,Ilha de Man,2007,0,0,
68,Brasil,Ilhas Virgens,2007,0,0,
69,Brasil,India,2007,0,0,733793.1900000004
70,Brasil,Indonésia,2007,0,0,
71,Brasil,Irã,2007,0,0,50116.298999999985
72,Brasil,Iraque,2007,0,0,14697.399499999998
73,Brasil,Irlanda,2007,0,0,3302.6949999999993
74,Brasil,Itália,2007,7209,19860,48741.061499999996
75,Brasil,Jamaica,2007,0,0,1747.1359999999997
76,Brasil,Japão,2007,357943,316867,107135.621
